id;creation_date;banned_user;banned_date
1;2019-06-20T04:03:58;false;2019-06-20T08:42:10
2;2019-06-20T08:29:50;true;2019-06-20T04:03:47
3;2019-06-19T15:52:15;true;2019-06-19T15:20:21
4;2019-06-19T13:52:16;true;2019-06-19T18:17:32
5;2019-06-20T07:03:29;true;2019-06-20T00:13:56
6;2019-06-19T17:12:34;false;2019-06-19T10:52:35
7;2019-06-19T12:07:15;true;2019-06-19T17:52:34
8;2019-06-19T22:02:55;false;2019-06-20T06:32:43
9;2019-06-20T07:18:35;false;2019-06-20T01:22:18
10;2019-06-19T16:47:00;false;2019-06-19T16:51:12
